PROJECT,TAG,NAME,LOCATION,YEAR,TYPE,SIZE,SITEAREA,CLIENT,DESCRIPTION,IMAGES
11,barndsall-arts-poster,BARNSDALL ARTS  POSTER,--,2018,Graphic Design,"11"" x 17""",--,Barndsall Arts,"Designed for the arts education non-profit Barnsdall Arts, the poster also serves as an instructional handout for a children’s workshop on crafting three-dimensional insects. The illustrated insects are graphically coded to insect body parts, teaching children about specific characteristics and encouraging creativity. ","[""/images/projects/barnsdallartsposter/001.jpg"", ""/images/projects/barnsdallartsposter/002.jpg""]"
12,letteforms,LETTERFORMS,--,Ongoing,Graphic Design,Various,--,--,A series of ongoing letterform experiments for various projects.,"[""/images/projects/letterforms/001.jpg"", ""/images/projects/letterforms/002.jpg"", ""/images/projects/letterforms/003.jpg"", ""/images/projects/letterforms/004.jpg"", ""/images/projects/letterforms/005.jpg"", ""/images/projects/etterforms/006.jpg"", ""/images/projects/letterforms/007.jpg"", ""/images/projects/letterforms/008.jpg"", ""/images/projects/letterforms/009.jpg"", ""/images/projects/letterforms/010.jpg""]"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
